gwid,statename,from,to,group,groupid,gwgroupid,umbrella,size,status,reg_aut
531,Eritrea,2009,2013,Afar,3000,53103000,,0.05,DISCRIMINATED,false
531,Eritrea,2009,2013,Saho,2300,53102300,53102000,0.04,DISCRIMINATED,false
531,Eritrea,2009,2013,Kunama,2200,53102200,53102000,0.02,DISCRIMINATED,false
540,Angola,1975,2002,Ovimbundu-Ovambo,5000,54005000,,0.38,DISCRIMINATED,false
540,Angola,1975,2002,Mbundu-Mestico,4000,54004000,,0.26,MONOPOLY,
540,Angola,1975,2002,Bakongo,1000,54001000,,0.13,POWERLESS,false
540,Angola,1975,2002,Lunda-Chokwe,3000,54003000,,0.09,DISCRIMINATED,false
540,Angola,1975,2002,Cabindan Mayombe,2000,54002000,,0.02,POWERLESS,false
540,Angola,2003,2005,Ovimbundu-Ovambo,5000,54005000,,0.38,POWERLESS,false
540,Angola,2003,2005,Mbundu-Mestico,4000,54004000,,0.26,DOMINANT,
540,Angola,2003,2005,Bakongo,1000,54001000,,0.13,POWERLESS,false
540,Angola,2003,2005,Lunda-Chokwe,3000,54003000,,0.09,POWERLESS,false
540,Angola,2003,2005,Cabindan Mayombe,2000,54002000,,0.02,POWERLESS,false
540,Angola,2006,2013,Ovimbundu-Ovambo,5000,54005000,,0.38,JUNIOR PARTNER,false
540,Angola,2006,2013,Mbundu-Mestico,4000,54004000,,0.26,SENIOR PARTNER,false
540,Angola,2006,2013,Bakongo,1000,54001000,,0.13,JUNIOR PARTNER,false
540,Angola,2006,2013,Lunda-Chokwe,3000,54003000,,0.09,POWERLESS,false
540,Angola,2006,2013,Cabindan Mayombe,2000,54002000,,0.02,POWERLESS,false
541,Mozambique,1975,2013,Tsonga-Chopi,4000,54104000,,0.287,SENIOR PARTNER,false
541,Mozambique,1975,2013,Shona-Ndau,3000,54103000,,0.098,POWERLESS,false
541,Mozambique,1975,2013,Makonde-Yao,1000,54101000,,0.067,JUNIOR PARTNER,false
551,Zambia,1964,1965,Bemba speakers,1000,55101000,,0.43,SENIOR PARTNER,false
551,Zambia,1964,1965,Tonga-Ila-Lenje (Southerners),7000,55107000,,0.19,SENIOR PARTNER,false
551,Zambia,1964,1965,Nyanja speakers (Easterners),6000,55106000,,0.18,SENIOR PARTNER,false
551,Zambia,1964,1965,Lozi (Barotse),3000,55103000,,0.08,JUNIOR PARTNER,true
551,Zambia,1964,1965,Lunda (NW Province),4000,55104000,,0.05,JUNIOR PARTNER,false
551,Zambia,1964,1965,Luvale (NW Province),5000,55105000,,0.04,JUNIOR PARTNER,false
551,Zambia,1964,1965,Kaonde (NW Province),2000,55102000,,0.03,JUNIOR PARTNER,false
551,Zambia,1966,2013,Bemba speakers,1000,55101000,,0.43,SENIOR PARTNER,false
551,Zambia,1966,2013,Tonga-Ila-Lenje (Southerners),7000,55107000,,0.19,SENIOR PARTNER,false
551,Zambia,1966,2013,Nyanja speakers (Easterners),6000,55106000,,0.18,SENIOR PARTNER,false
551,Zambia,1966,2013,Lozi (Barotse),3000,55103000,,0.08,JUNIOR PARTNER,false
551,Zambia,1966,2013,Lunda (NW Province),4000,55104000,,0.05,JUNIOR PARTNER,false
551,Zambia,1966,2013,Luvale (NW Province),5000,55105000,,0.04,JUNIOR PARTNER,false
551,Zambia,1966,2013,Kaonde (NW Province),2000,55102000,,0.03,JUNIOR PARTNER,false
552,Zimbabwe,1965,1979,Africans,1000,55201000,,0.97,DISCRIMINATED,false
552,Zimbabwe,1965,1979,Europeans,2000,55202000,,0.03,MONOPOLY,
552,Zimbabwe,1980,1981,Shona,1200,55201200,55201000,0.77,SENIOR PARTNER,false
552,Zimbabwe,1980,1981,Ndebele-Kalanga-(Tonga),1100,55201100,55201000,0.2,JUNIOR PARTNER,false
552,Zimbabwe,1980,1981,Europeans,2000,55202000,,0.03,JUNIOR PARTNER,false
552,Zimbabwe,1982,1987,Shona (minus Ndau),1220,55201220,55201200,0.74,SENIOR PARTNER,false
552,Zimbabwe,1982,1987,Ndebele-Kalanga-(Tonga),1100,55201100,55201000,0.2,DISCRIMINATED,false
552,Zimbabwe,1982,1987,Ndau (Shona sub-group),1210,55201210,55201200,0.03,DISCRIMINATED,false
552,Zimbabwe,1982,1987,Europeans,2000,55202000,,0.03,JUNIOR PARTNER,false
552,Zimbabwe,1988,1991,Shona (minus Manyika & Ndau),1222,55201222,55201220,0.61,SENIOR PARTNER,false
552,Zimbabwe,1988,1991,Ndebele-Kalanga-(Tonga),1100,55201100,55201000,0.2,JUNIOR PARTNER,false
552,Zimbabwe,1988,1991,Manyika (Shona sub-group),1221,55201221,55201220,0.13,DISCRIMINATED,false
552,Zimbabwe,1988,1991,Ndau (Shona sub-group),1210,55201210,55201200,0.03,DISCRIMINATED,false
552,Zimbabwe,1988,1991,Europeans,2000,55202000,,0.03,JUNIOR PARTNER,false
552,Zimbabwe,1992,1999,Shona,1200,55201200,55201000,0.77,SENIOR PARTNER,false
552,Zimbabwe,1992,1999,Ndebele-Kalanga-(Tonga),1100,55201100,55201000,0.2,JUNIOR PARTNER,false
552,Zimbabwe,1992,1999,Europeans,2000,55202000,,0.03,JUNIOR PARTNER,false
552,Zimbabwe,2000,2008,Shona,1200,55201200,55201000,0.77,DOMINANT,
552,Zimbabwe,2000,2008,Ndebele-Kalanga-(Tonga),1100,55201100,55201000,0.2,DISCRIMINATED,false
552,Zimbabwe,2000,2008,Europeans,2000,55202000,,0.01,DISCRIMINATED,false
552,Zimbabwe,2009,2010,Shona,1200,55201200,55201000,0.77,SENIOR PARTNER,false
552,Zimbabwe,2009,2010,Ndebele-Kalanga-(Tonga),1100,55201100,55201000,0.2,JUNIOR PARTNER,false
552,Zimbabwe,2009,2010,Europeans,2000,55202000,,0.01,DISCRIMINATED,false
552,Zimbabwe,2011,2013,Shona,1200,55201200,55201000,0.82,SENIOR PARTNER,false
552,Zimbabwe,2011,2013,Ndebele-Kalanga-(Tonga),1100,55201100,55201000,0.14,JUNIOR PARTNER,false
552,Zimbabwe,2011,2013,Europeans,2000,55202000,,0.01,DISCRIMINATED,false
553,Malawi,1964,1994,"Southerners (Lomwe, Mang'anja, Nyanja, Yao)",1000,55301000,,0.46,POWERLESS,false
553,Malawi,1964,1994,Central (Chewa),2000,55302000,,0.4,DOMINANT,
553,Malawi,1964,1994,"Northerners (Tumbuka, Tonga, Ngonde)",3000,55303000,,0.14,POWERLESS,false
553,Malawi,1995,2013,"Southerners (Lomwe, Mang'anja, Nyanja, Yao)",1000,55301000,,0.46,SENIOR PARTNER,false
553,Malawi,1995,2013,Central (Chewa),2000,55302000,,0.4,JUNIOR PARTNER,false
553,Malawi,1995,2013,"Northerners (Tumbuka, Tonga, Ngonde)",3000,55303000,,0.14,JUNIOR PARTNER,false
560,South Africa,1946,1947,Blacks,5000,56005000,,0.77,DISCRIMINATED,false
560,South Africa,1946,1947,Afrikaners,1000,56001000,,0.08,POWERLESS,false
560,South Africa,1946,1947,Coloreds,3000,56003000,,0.08,POWERLESS,false
560,South Africa,1946,1947,English Speakers,4000,56004000,,0.045,DOMINANT,
560,South Africa,1946,1947,Asians,2000,56002000,,0.02,POWERLESS,false
560,South Africa,1948,1989,Blacks,5000,56005000,,0.77,DISCRIMINATED,false
560,South Africa,1948,1989,Afrikaners,1000,56001000,,0.08,DOMINANT,
560,South Africa,1948,1989,Coloreds,3000,56003000,,0.08,DISCRIMINATED,false
560,South Africa,1948,1989,English Speakers,4000,56004000,,0.045,POWERLESS,false
560,South Africa,1948,1989,Asians,2000,56002000,,0.02,DISCRIMINATED,false
560,South Africa,1990,1993,Blacks,5000,56005000,,0.77,POWERLESS,false
560,South Africa,1990,1993,Afrikaners,1000,56001000,,0.08,DOMINANT,
560,South Africa,1990,1993,Coloreds,3000,56003000,,0.08,POWERLESS,false
560,South Africa,1990,1993,English Speakers,4000,56004000,,0.045,POWERLESS,false
560,South Africa,1990,1993,Asians,2000,56002000,,0.02,POWERLESS,false
560,South Africa,1994,2008,Zulu,5100,56005100,56005000,0.23,JUNIOR PARTNER,false
560,South Africa,1994,2008,Xhosa,5200,56005200,56005000,0.18,SENIOR PARTNER,false
560,South Africa,1994,2008,Pedi (North Sotho),5310,56005310,56005000,0.09,JUNIOR PARTNER,false
560,South Africa,1994,2008,Afrikaners,1000,56001000,,0.08,JUNIOR PARTNER,false
560,South Africa,1994,2008,Coloreds,3000,56003000,,0.08,JUNIOR PARTNER,false
560,South Africa,1994,2008,South Sotho,5320,56005320,56005000,0.08,JUNIOR PARTNER,false
560,South Africa,1994,2008,Tswana,5400,56005400,56005000,0.08,JUNIOR PARTNER,false
560,South Africa,1994,2008,English Speakers,4000,56004000,,0.045,JUNIOR PARTNER,false
560,South Africa,1994,2008,Tsonga,5500,56005500,56005000,0.04,JUNIOR PARTNER,false
560,South Africa,1994,2008,Swazi,5600,56005600,56005000,0.025,JUNIOR PARTNER,false
560,South Africa,1994,2008,Asians,2000,56002000,,0.02,JUNIOR PARTNER,false
560,South Africa,1994,2008,Venda,5700,56005700,56005000,0.02,JUNIOR PARTNER,false
560,South Africa,1994,2008,Ndebele,5800,56005800,56005000,0.015,JUNIOR PARTNER,false
560,South Africa,1994,2008,San,5900,56005900,56005000,0.0002,POWERLESS,false
560,South Africa,2009,2013,Zulu,5100,56005100,56005000,0.23,SENIOR PARTNER,false
560,South Africa,2009,2013,Xhosa,5200,56005200,56005000,0.18,JUNIOR PARTNER,false
560,South Africa,2009,2013,Pedi (North Sotho),5310,56005310,56005000,0.09,JUNIOR PARTNER,false
560,South Africa,2009,2013,Afrikaners,1000,56001000,,0.08,JUNIOR PARTNER,false
560,South Africa,2009,2013,Coloreds,3000,56003000,,0.08,JUNIOR PARTNER,false
560,South Africa,2009,2013,South Sotho,5320,56005320,56005000,0.08,JUNIOR PARTNER,false
560,South Africa,2009,2013,Tswana,5400,56005400,56005000,0.08,JUNIOR PARTNER,false
560,South Africa,2009,2013,English Speakers,4000,56004000,,0.045,JUNIOR PARTNER,false
560,South Africa,2009,2013,Tsonga,5500,56005500,56005000,0.04,JUNIOR PARTNER,false
560,South Africa,2009,2013,Swazi,5600,56005600,56005000,0.025,JUNIOR PARTNER,false
560,South Africa,2009,2013,Asians,2000,56002000,,0.02,JUNIOR PARTNER,false
560,South Africa,2009,2013,Venda,5700,56005700,56005000,0.02,JUNIOR PARTNER,false
560,South Africa,2009,2013,Ndebele,5800,56005800,56005000,0.015,JUNIOR PARTNER,false
560,South Africa,2009,2013,San,5900,56005900,56005000,0.0002,POWERLESS,false
565,Namibia,1990,2013,Ovambo,9000,56509000,,0.498,SENIOR PARTNER,false
565,Namibia,1990,2013,Kavango,6000,56506000,,0.094,JUNIOR PARTNER,false
565,Namibia,1990,2013,Whites,11000,56511000,,0.063,JUNIOR PARTNER,false
565,Namibia,1990,2013,"Herero, Mbanderu",5000,56505000,,0.06,JUNIOR PARTNER,false
565,Namibia,1990,2013,Nama,8000,56508000,,0.048,JUNIOR PARTNER,false
565,Namibia,1990,2013,Damara,4000,56504000,,0.045,JUNIOR PARTNER,false
565,Namibia,1990,2013,Coloreds,3000,56503000,,0.04,JUNIOR PARTNER,false
565,Namibia,1990,2013,Basubia,2000,56502000,,0.03,JUNIOR PARTNER,false
565,Namibia,1990,2013,Mafwe,7000,56507000,,0.03,POWERLESS,false
565,Namibia,1990,2013,San,10000,56510000,,0.03,POWERLESS,false
565,Namibia,1990,2013,Baster,1000,56501000,,0.023,POWERLESS,false
565,Namibia,1990,2013,Himba,12000,56512000,,0.01,POWERLESS,false
570,Lesotho,1966,2013,Sotho,1000,57001000,,1,IRRELEVANT,
571,Botswana,1966,2013,Tswana,1000,57101000,,0.57,SENIOR PARTNER,false
571,Botswana,1966,2013,Kalanga,2000,57102000,,0.08,JUNIOR PARTNER,false
571,Botswana,1966,2013,Kgalagadi,3000,57103000,,0.02,POWERLESS,false
571,Botswana,1966,2013,San,11000,57111000,,0.02,POWERLESS,false
571,Botswana,1966,2013,Herero/Mbanderu,4000,57104000,,0.017,POWERLESS,false
571,Botswana,1966,2013,White,5000,57105000,,0.015,JUNIOR PARTNER,false
571,Botswana,1966,2013,Yeyi,6000,57106000,,0.011,POWERLESS,false
571,Botswana,1966,2013,Mbukushu,7000,57107000,,0.011,POWERLESS,false
571,Botswana,1966,2013,Birwa,8000,57108000,,0.008,POWERLESS,false
571,Botswana,1966,2013,Tswapong,9000,57109000,,0.001,POWERLESS,false
572,Swaziland,1968,2013,Swazi,1000,57201000,,1,IRRELEVANT,
580,Madagascar,1960,1972,Côtiers,1000,58001000,,0.479,DOMINANT,
580,Madagascar,1960,1972,Highlanders,2000,58002000,,0.395,POWERLESS,false
580,Madagascar,1973,1975,Côtiers,1000,58001000,,0.479,JUNIOR PARTNER,false
580,Madagascar,1973,1975,Highlanders,2000,58002000,,0.395,SENIOR PARTNER,false
580,Madagascar,1976,2001,Côtiers,1000,58001000,,0.479,SENIOR PARTNER,false
580,Madagascar,1976,2001,Highlanders,2000,58002000,,0.395,JUNIOR PARTNER,false
580,Madagascar,2002,2013,Côtiers,1000,58001000,,0.479,IRRELEVANT,
580,Madagascar,2002,2013,Highlanders,2000,58002000,,0.395,IRRELEVANT,
590,Mauritius,1969,1969,Hindus,1000,59001000,,0.52,SENIOR PARTNER,false
590,Mauritius,1969,1969,Creoles,3000,59003000,,0.27,POWERLESS,false
590,Mauritius,1969,1969,Muslims,2000,59002000,,0.16,JUNIOR PARTNER,false
590,Mauritius,1969,1969,Franco-Mauritians,4000,59004000,,0.02,POWERLESS,false
590,Mauritius,1970,1976,Hindus,1000,59001000,,0.52,SENIOR PARTNER,false
590,Mauritius,1970,1976,Creoles,3000,59003000,,0.27,JUNIOR PARTNER,false
590,Mauritius,1970,1976,Muslims,2000,59002000,,0.16,JUNIOR PARTNER,false
590,Mauritius,1970,1976,Franco-Mauritians,4000,59004000,,0.02,JUNIOR PARTNER,false
590,Mauritius,1977,1982,Hindus,1000,59001000,,0.52,SENIOR PARTNER,false
590,Mauritius,1977,1982,Creoles,3000,59003000,,0.27,JUNIOR PARTNER,false
590,Mauritius,1977,1982,Muslims,2000,59002000,,0.16,POWERLESS,false
590,Mauritius,1977,1982,Franco-Mauritians,4000,59004000,,0.02,JUNIOR PARTNER,false
590,Mauritius,1983,1983,Hindus,1000,59001000,,0.52,SENIOR PARTNER,false
590,Mauritius,1983,1983,Black Creoles,3100,59003100,59003000,0.225,JUNIOR PARTNER,false
590,Mauritius,1983,1983,Muslims,2000,59002000,,0.16,JUNIOR PARTNER,false
590,Mauritius,1983,1983,Gens-de-Couleur,3200,59003200,59003000,0.045,POWERLESS,false
590,Mauritius,1983,1983,Franco-Mauritians,4000,59004000,,0.02,JUNIOR PARTNER,false
590,Mauritius,1984,1987,Hindus,1000,59001000,,0.52,SENIOR PARTNER,false
590,Mauritius,1984,1987,Creoles,3000,59003000,,0.27,JUNIOR PARTNER,false
590,Mauritius,1984,1987,Muslims,2000,59002000,,0.16,JUNIOR PARTNER,false
590,Mauritius,1984,1987,Franco-Mauritians,4000,59004000,,0.02,POWERLESS,false
590,Mauritius,1988,1991,Hindi-speaking Hindus,1100,59001100,59001000,0.4,SENIOR PARTNER,false
590,Mauritius,1988,1991,Creoles,3000,59003000,,0.27,JUNIOR PARTNER,false
590,Mauritius,1988,1991,Muslims,2000,59002000,,0.16,JUNIOR PARTNER,false
590,Mauritius,1988,1991,Tamils and Telugus,1300,59001300,59001000,0.1,POWERLESS,false
590,Mauritius,1988,1991,Marathis,1200,59001200,59001000,0.02,POWERLESS,false
590,Mauritius,1988,1991,Franco-Mauritians,4000,59004000,,0.02,POWERLESS,false
590,Mauritius,1992,2005,Hindi-speaking Hindus,1100,59001100,59001000,0.4,SENIOR PARTNER,false
590,Mauritius,1992,2005,Creoles,3000,59003000,,0.27,JUNIOR PARTNER,false
590,Mauritius,1992,2005,Muslims,2000,59002000,,0.16,JUNIOR PARTNER,false
590,Mauritius,1992,2005,Tamils and Telugus,1300,59001300,59001000,0.1,JUNIOR PARTNER,false
590,Mauritius,1992,2005,Marathis,1200,59001200,59001000,0.02,JUNIOR PARTNER,false
590,Mauritius,1992,2005,Franco-Mauritians,4000,59004000,,0.02,JUNIOR PARTNER,false
590,Mauritius,2006,2010,Hindi-speaking Hindus,1100,59001100,59001000,0.4,SENIOR PARTNER,false
590,Mauritius,2006,2010,Black Creoles,3100,59003100,59003000,0.225,POWERLESS,false
590,Mauritius,2006,2010,Muslims,2000,59002000,,0.16,JUNIOR PARTNER,false
590,Mauritius,2006,2010,Tamils and Telugus,1300,59001300,59001000,0.1,POWERLESS,false
590,Mauritius,2006,2010,Gens-de-Couleur,3200,59003200,59003000,0.045,JUNIOR PARTNER,false
590,Mauritius,2006,2010,Marathis,1200,59001200,59001000,0.02,POWERLESS,false
590,Mauritius,2006,2010,Franco-Mauritians,4000,59004000,,0.02,JUNIOR PARTNER,false
590,Mauritius,2011,2013,Hindi-speaking Hindus,1100,59001100,59001000,0.4,SENIOR PARTNER,false
590,Mauritius,2011,2013,Creoles,3000,59003000,,0.27,JUNIOR PARTNER,false
590,Mauritius,2011,2013,Muslims,2000,59002000,,0.16,JUNIOR PARTNER,false
590,Mauritius,2011,2013,Tamils and Telugus,1300,59001300,59001000,0.1,POWERLESS,false
590,Mauritius,2011,2013,Marathis,1200,59001200,59001000,0.02,POWERLESS,false
590,Mauritius,2011,2013,Franco-Mauritians,4000,59004000,,0.02,JUNIOR PARTNER,false
600,Morocco,1956,1975,Arabs,2000,60002000,,0.6,DOMINANT,
600,Morocco,1956,1975,Berbers,1000,60001000,,0.4,POWERLESS,false
600,Morocco,1976,2013,Arabs,2000,60002000,,0.592,DOMINANT,
600,Morocco,1976,2013,Berbers,1000,60001000,,0.392,POWERLESS,false
600,Morocco,1976,2013,Sahrawis,3000,60003000,,0.016,DISCRIMINATED,false
615,Algeria,1962,2013,Arabs,1000,61501000,,0.72,DOMINANT,
615,Algeria,1962,2013,Berbers,2000,61502000,,0.28,POWERLESS,false
616,Tunisia,1956,2013,Arabs,1000,61601000,,0.98,IRRELEVANT,
620,Libya,1951,1969,Arabs,1000,62001000,,0.843,DOMINANT,
620,Libya,1951,1969,Berbers,5000,62005000,,0.1,IRRELEVANT,false
620,Libya,1951,1969,Tuareg,6000,62006000,,0.05,IRRELEVANT,false
620,Libya,1951,1969,Toubou,2000,62002000,,0.006,IRRELEVANT,false
620,Libya,1951,1969,Jews,4000,62004000,,0.001,DISCRIMINATED,false
620,Libya,1970,2011,Arabs,1000,62001000,,0.844,MONOPOLY,
620,Libya,1970,2011,Berbers,5000,62005000,,0.1,DISCRIMINATED,false
620,Libya,1970,2011,Tuareg,6000,62006000,,0.05,DISCRIMINATED,false
620,Libya,1970,2011,Toubou,2000,62002000,,0.006,DISCRIMINATED,false
620,Libya,2012,2013,Arabs,1000,62001000,,0.844,DOMINANT,
620,Libya,2012,2013,Berbers,5000,62005000,,0.1,POWERLESS,false
620,Libya,2012,2013,Tuareg,6000,62006000,,0.05,POWERLESS,false
620,Libya,2012,2013,Toubou,2000,62002000,,0.006,POWERLESS,false
625,Sudan,1956,1971,Other Arab groups,9000,62509000,,0.25,POWERLESS,false
625,Sudan,1956,1971,Other Northern groups,10000,62510000,,0.17,POWERLESS,false
625,Sudan,1956,1971,"Shaygiyya, Ja'aliyyin and Danagla (Arab)",12000,62512000,,0.15,DOMINANT,false
625,Sudan,1956,1971,Dinka,4000,62504000,,0.1,POWERLESS,false
625,Sudan,1956,1971,Other Southern groups,11000,62511000,,0.09,POWERLESS,false
625,Sudan,1956,1971,Beja,3000,62503000,,0.06,POWERLESS,false
625,Sudan,1956,1971,Nuba,7000,62507000,,0.05,POWERLESS,false
625,Sudan,1956,1971,Nuer,8000,62508000,,0.05,POWERLESS,false
625,Sudan,1956,1971,Azande,1000,62501000,,0.02,POWERLESS,false
625,Sudan,1956,1971,Bari,2000,62502000,,0.02,POWERLESS,false
625,Sudan,1956,1971,Fur,5000,62505000,,0.02,POWERLESS,false
625,Sudan,1956,1971,Latoka,6000,62506000,,0.01,POWERLESS,false
625,Sudan,1956,1971,Shilluk,13000,62513000,,0.01,POWERLESS,false
625,Sudan,1956,1971,Masalit,14000,62514000,,0.01,IRRELEVANT,false
625,Sudan,1956,1971,Zaghawa,15000,62515000,,0.005,IRRELEVANT,false
625,Sudan,1956,1971,Rashaida,16000,62516000,,0.002,IRRELEVANT,false
625,Sudan,1972,1982,Other Arab groups,9000,62509000,,0.25,POWERLESS,false
625,Sudan,1972,1982,Other Northern groups,10000,62510000,,0.17,POWERLESS,false
625,Sudan,1972,1982,"Shaygiyya, Ja'aliyyin and Danagla (Arab)",12000,62512000,,0.15,DOMINANT,false
625,Sudan,1972,1982,Dinka,4000,62504000,,0.1,POWERLESS,true
625,Sudan,1972,1982,Other Southern groups,11000,62511000,,0.09,POWERLESS,false
625,Sudan,1972,1982,Beja,3000,62503000,,0.06,POWERLESS,false
625,Sudan,1972,1982,Nuba,7000,62507000,,0.05,POWERLESS,false
625,Sudan,1972,1982,Nuer,8000,62508000,,0.05,POWERLESS,true
625,Sudan,1972,1982,Azande,1000,62501000,,0.02,POWERLESS,true
625,Sudan,1972,1982,Bari,2000,62502000,,0.02,POWERLESS,true
625,Sudan,1972,1982,Fur,5000,62505000,,0.02,POWERLESS,false
625,Sudan,1972,1982,Latoka,6000,62506000,,0.01,POWERLESS,true
625,Sudan,1972,1982,Shilluk,13000,62513000,,0.01,POWERLESS,true
625,Sudan,1972,1982,Masalit,14000,62514000,,0.01,IRRELEVANT,false
625,Sudan,1972,1982,Zaghawa,15000,62515000,,0.005,IRRELEVANT,false
625,Sudan,1972,1982,Rashaida,16000,62516000,,0.002,IRRELEVANT,false
625,Sudan,1983,2002,Other Arab groups,9000,62509000,,0.25,POWERLESS,false
625,Sudan,1983,2002,Other Northern groups,10000,62510000,,0.17,POWERLESS,false
625,Sudan,1983,2002,"Shaygiyya, Ja'aliyyin and Danagla (Arab)",12000,62512000,,0.15,DOMINANT,false
625,Sudan,1983,2002,Dinka,4000,62504000,,0.1,POWERLESS,false
625,Sudan,1983,2002,Other Southern groups,11000,62511000,,0.09,POWERLESS,false
625,Sudan,1983,2002,Beja,3000,62503000,,0.06,POWERLESS,false
625,Sudan,1983,2002,Nuba,7000,62507000,,0.05,POWERLESS,false
625,Sudan,1983,2002,Nuer,8000,62508000,,0.05,POWERLESS,false
625,Sudan,1983,2002,Azande,1000,62501000,,0.02,POWERLESS,false
625,Sudan,1983,2002,Bari,2000,62502000,,0.02,POWERLESS,false
625,Sudan,1983,2002,Fur,5000,62505000,,0.02,POWERLESS,false
625,Sudan,1983,2002,Latoka,6000,62506000,,0.01,POWERLESS,false
625,Sudan,1983,2002,Shilluk,13000,62513000,,0.01,POWERLESS,false
625,Sudan,1983,2002,Masalit,14000,62514000,,0.01,IRRELEVANT,false
625,Sudan,1983,2002,Zaghawa,15000,62515000,,0.005,IRRELEVANT,false
625,Sudan,1983,2002,Rashaida,16000,62516000,,0.002,IRRELEVANT,false
625,Sudan,2003,2003,Other Arab groups,9000,62509000,,0.25,POWERLESS,false
625,Sudan,2003,2003,Other Northern groups,10000,62510000,,0.17,POWERLESS,false
625,Sudan,2003,2003,"Shaygiyya, Ja'aliyyin and Danagla (Arab)",12000,62512000,,0.15,DOMINANT,false
625,Sudan,2003,2003,Dinka,4000,62504000,,0.1,POWERLESS,false
625,Sudan,2003,2003,Other Southern groups,11000,62511000,,0.09,POWERLESS,false
625,Sudan,2003,2003,Beja,3000,62503000,,0.06,POWERLESS,false
625,Sudan,2003,2003,Nuba,7000,62507000,,0.05,POWERLESS,false
625,Sudan,2003,2003,Nuer,8000,62508000,,0.05,POWERLESS,false
625,Sudan,2003,2003,Azande,1000,62501000,,0.02,POWERLESS,false
625,Sudan,2003,2003,Bari,2000,62502000,,0.02,POWERLESS,false
625,Sudan,2003,2003,Fur,5000,62505000,,0.02,DISCRIMINATED,false
625,Sudan,2003,2003,Latoka,6000,62506000,,0.01,POWERLESS,false
625,Sudan,2003,2003,Shilluk,13000,62513000,,0.01,POWERLESS,false
625,Sudan,2003,2003,Masalit,14000,62514000,,0.01,IRRELEVANT,false
625,Sudan,2003,2003,Zaghawa,15000,62515000,,0.005,IRRELEVANT,false
625,Sudan,2003,2003,Rashaida,16000,62516000,,0.002,IRRELEVANT,false
625,Sudan,2004,2005,Other Arab groups,9000,62509000,,0.25,POWERLESS,false
625,Sudan,2004,2005,Other Northern groups,10000,62510000,,0.17,POWERLESS,false
625,Sudan,2004,2005,"Shaygiyya, Ja'aliyyin and Danagla (Arab)",12000,62512000,,0.15,DOMINANT,false
625,Sudan,2004,2005,Dinka,4000,62504000,,0.1,POWERLESS,false
625,Sudan,2004,2005,Other Southern groups,11000,62511000,,0.09,POWERLESS,false
625,Sudan,2004,2005,Beja,3000,62503000,,0.06,POWERLESS,false
625,Sudan,2004,2005,Nuba,7000,62507000,,0.05,POWERLESS,false
625,Sudan,2004,2005,Nuer,8000,62508000,,0.05,POWERLESS,false
625,Sudan,2004,2005,Azande,1000,62501000,,0.02,POWERLESS,false
625,Sudan,2004,2005,Bari,2000,62502000,,0.02,POWERLESS,false
625,Sudan,2004,2005,Fur,5000,62505000,,0.02,DISCRIMINATED,false
625,Sudan,2004,2005,Latoka,6000,62506000,,0.01,POWERLESS,false
625,Sudan,2004,2005,Shilluk,13000,62513000,,0.01,POWERLESS,false
625,Sudan,2004,2005,Masalit,14000,62514000,,0.01,DISCRIMINATED,false
625,Sudan,2004,2005,Zaghawa,15000,62515000,,0.005,DISCRIMINATED,false
625,Sudan,2004,2005,Rashaida,16000,62516000,,0.002,IRRELEVANT,false
625,Sudan,2006,2011,Other Arab groups,9000,62509000,,0.25,POWERLESS,false
625,Sudan,2006,2011,Other Northern groups,10000,62510000,,0.17,POWERLESS,false
625,Sudan,2006,2011,"Shaygiyya, Ja'aliyyin and Danagla (Arab)",12000,62512000,,0.15,SENIOR PARTNER,false
625,Sudan,2006,2011,Dinka,4000,62504000,,0.1,JUNIOR PARTNER,true
625,Sudan,2006,2011,Other Southern groups,11000,62511000,,0.09,POWERLESS,false
625,Sudan,2006,2011,Beja,3000,62503000,,0.06,POWERLESS,false
625,Sudan,2006,2011,Nuba,7000,62507000,,0.05,POWERLESS,false
625,Sudan,2006,2011,Nuer,8000,62508000,,0.05,POWERLESS,false
625,Sudan,2006,2011,Azande,1000,62501000,,0.02,POWERLESS,false
625,Sudan,2006,2011,Bari,2000,62502000,,0.02,POWERLESS,false
625,Sudan,2006,2011,Fur,5000,62505000,,0.02,DISCRIMINATED,false
625,Sudan,2006,2011,Latoka,6000,62506000,,0.01,POWERLESS,false
625,Sudan,2006,2011,Shilluk,13000,62513000,,0.01,POWERLESS,false
625,Sudan,2006,2011,Masalit,14000,62514000,,0.01,DISCRIMINATED,false
625,Sudan,2006,2011,Zaghawa,15000,62515000,,0.005,DISCRIMINATED,false
625,Sudan,2006,2011,Rashaida,16000,62516000,,0.002,POWERLESS,false
625,Sudan,2012,2013,Other Arab groups,9000,62509000,,0.32,POWERLESS,false
625,Sudan,2012,2013,Other Northern groups,10000,62510000,,0.22,POWERLESS,false
625,Sudan,2012,2013,"Shaygiyya, Ja'aliyyin and Danagla (Arab)",12000,62512000,,0.19,DOMINANT,false
625,Sudan,2012,2013,Beja,3000,62503000,,0.09,POWERLESS,false
625,Sudan,2012,2013,Nuba,7000,62507000,,0.07,POWERLESS,false
625,Sudan,2012,2013,Fur,5000,62505000,,0.03,DISCRIMINATED,false
625,Sudan,2012,2013,Masalit,14000,62514000,,0.015,DISCRIMINATED,false
625,Sudan,2012,2013,Zaghawa,15000,62515000,,0.007,DISCRIMINATED,false
